year,China,United States,India,Other Asia,EU28,Former USSR,Non-EU Europe,Latin America,Africa and Middle East,Other
2000,197431.0,327271.0,61564.0,85460.0,194555.0,83551.0,17001.0,9915.0,45382.0,43812.0
2001,211341.0,328349.0,62599.0,88614.0,194448.0,83766.0,17001.0,9960.0,46996.0,44884.0
2002,220504.0,329100.0,64679.0,97117.0,195806.0,83856.0,17001.0,9960.0,46996.0,45325.0
2003,243297.0,329188.0,66414.0,100757.0,196224.0,84084.0,18721.0,9960.0,46996.0,46211.0
2004,272566.0,329773.0,66931.0,105327.0,196152.0,84234.0,18721.0,9960.0,46996.0,46212.0
2005,319381.0,330207.0,70230.0,106566.0,196337.0,84654.0,19216.0,9960.0,47031.0,46679.0
2006,400523.0,330689.0,72586.0,111789.0,194957.0,84954.0,20231.0,9960.0,47031.0,46680.0
2007,472905.0,332021.0,77856.0,116648.0,194137.0,85074.0,20308.0,10048.0,47121.0,47431.0
2008,525789.0,333605.0,83127.0,118952.1,193285.0,85074.0,20308.0,10048.0,47121.0,47432.0
2009,576114.0,335638.0,88679.0,124467.1,193922.0,85824.0,20546.0,10200.0,47121.0,47899.0
2010,630238.0,339066.0,100037.0,127515.1,193883.0,85824.0,21811.0,11711.0,47181.0,46091.0
2011,689093.0,340024.0,115103.0,134312.1,191469.0,86074.0,22411.0,12592.0,47331.0,45482.0
2012,737723.0,333658.0,132887.0,138867.1,186853.0,86613.0,22411.0,13917.0,47331.0,44472.0
2013,786562.0,328643.0,151039.0,144440.1,179178.0,86078.0,22739.0,15305.0,47631.0,41087.0
2014,815618.0,324311.0,171460.0,150739.1,174457.0,87174.0,24289.0,15427.0,48631.0,39835.0
2015,874822.0,302840.0,192001.0,160847.1,172393.0,87511.0,25429.0,15933.0,49455.0,39246.0
2016,916797.0,287448.0,209936.0,171675.1,163846.0,88878.0,27579.0,16984.0,49755.0,38487.0
2017,944776.0,278649.0,214989.0,185306.1,158370.0,88983.0,28899.0,16538.0,51693.0,36648.0
2018,972514.0,261037.0,220670.0,191088.1,154790.0,88953.0,29229.0,17088.0,52642.0,36089.0
